source,destination,fare,total_distance,intermediate_station_count,stations_between,source_code,destination_code
Science Centre,Kalbadevi,30,5.755 km,4,Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon,SCMU,KLBD
Science Centre,Chhatrapati Shivaji Maharaj Terminus Metro,30,6.655 km,5,Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi,SCMU,CSTM
Science Centre,Hutatma Chowk,30,7.595 km,6,Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro,SCMU,HUC
Science Centre,Churchgate Metro,40,8.485 km,7,Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk,SCMU,CHGM
Science Centre,Vidhan Bhavan,40,9.221 km,8,Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk -> Churchgate Metro,SCMU,VIDB
Science Centre,Cuffe Parade,40,10.681 km,9,Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk -> Churchgate Metro -> Vidhan Bhavan,SCMU,CUP
Mahalaxmi Metro,Aarey JVLR,60,24.301 km,16,Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka -> MIDC-Andheri -> SEEPZ,MLXM,ARYJ
Mahalaxmi Metro,SEEPZ,60,22.819 km,15,Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka -> MIDC-Andheri,MLXM,SEPZ
Mahalaxmi Metro,MIDC-Andheri,60,21.576 km,14,Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka,MLXM,MIDC
Mahalaxmi Metro,Marol Naka,60,20.35 km,13,Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2,MLXM,MNK
Mahalaxmi Metro,CSMI-Airport - T2,60,19.236 km,12,Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road,MLXM,CSIA
Mahalaxmi Metro,Sahar Road,60,18.284 km,11,Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1,MLXM,SHRR
Mahalaxmi Metro,CSMI Airport-T1,50,16.561 km,10,Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro,MLXM,CIAD
Mahalaxmi Metro,Santacruz Metro,50,14.288 km,9,Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony,MLXM,STZM
Mahalaxmi Metro,Bandra Colony,50,13.288 km,8,Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex,MLXM,VIDN
Mahalaxmi Metro,Bandra-Kurla Complex,50,12.037 km,7,Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi,MLXM,BDRM
Mahalaxmi Metro,Dharavi,40,10.213 km,6,Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir,MLXM,DHAV
Mahalaxmi Metro,Shitala Devi Mandir,40,8.402 km,5,Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro,MLXM,SDIT
Mahalaxmi Metro,Dadar Metro,30,7.31 km,4,Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak,MLXM,DDRM
Mahalaxmi Metro,Siddhivinayak,30,5.317 km,3,Science Centre -> Acharya Atre Chowk -> Worli,MLXM,SIDV
Mahalaxmi Metro,Worli,20,3.691 km,2,Science Centre -> Acharya Atre Chowk,MLXM,WOR
Mahalaxmi Metro,Acharya Atre Chowk,20,2.209 km,1,Science Centre,MLXM,ACA
Mahalaxmi Metro,Science Centre,10,1.368 km,0,,MLXM,SCMU
Mahalaxmi Metro,Jagannath Shankar Sheth Metro,10,1.087 km,0,,MLXM,MCLM
Mahalaxmi Metro,Grant Road Metro,20,2.133 km,1,Jagannath Shankar Sheth Metro,MLXM,GTRM
Mahalaxmi Metro,Girgaon,20,3.668 km,2,Jagannath Shankar Sheth Metro -> Grant Road Metro,MLXM,GIRG
Mahalaxmi Metro,Kalbadevi,20,4.387 km,3,Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon,MLXM,KLBD
Mahalaxmi Metro,Chhatrapati Shivaji Maharaj Terminus Metro,30,5.287 km,4,Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi,MLXM,CSTM
Mahalaxmi Metro,Hutatma Chowk,30,6.227 km,5,Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro,MLXM,HUC
Mahalaxmi Metro,Churchgate Metro,30,7.117 km,6,Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk,MLXM,CHGM
Mahalaxmi Metro,Vidhan Bhavan,30,7.853 km,7,Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk -> Churchgate Metro,MLXM,VIDB
Mahalaxmi Metro,Cuffe Parade,40,9.313 km,8,Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk -> Churchgate Metro -> Vidhan Bhavan,MLXM,CUP
Jagannath Shankar Sheth Metro,Aarey JVLR,70,25.388 km,17,Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka -> MIDC-Andheri -> SEEPZ,MCLM,ARYJ
Jagannath Shankar Sheth Metro,SEEPZ,60,23.906 km,16,Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka -> MIDC-Andheri,MCLM,SEPZ
Jagannath Shankar Sheth Metro,MIDC-Andheri,60,22.663 km,15,Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka,MCLM,MIDC
Jagannath Shankar Sheth Metro,Marol Naka,60,21.437 km,14,Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2,MCLM,MNK
Jagannath Shankar Sheth Metro,CSMI-Airport - T2,60,20.323 km,13,Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road,MCLM,CSIA
Jagannath Shankar Sheth Metro,Sahar Road,60,19.371 km,12,Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1,MCLM,SHRR
Jagannath Shankar Sheth Metro,CSMI Airport-T1,50,17.648 km,11,Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro,MCLM,CIAD
Jagannath Shankar Sheth Metro,Santacruz Metro,50,15.375 km,10,Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony,MCLM,STZM
Jagannath Shankar Sheth Metro,Bandra Colony,50,14.375 km,9,Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex,MCLM,VIDN
Jagannath Shankar Sheth Metro,Bandra-Kurla Complex,50,13.124 km,8,Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi,MCLM,BDRM
Jagannath Shankar Sheth Metro,Dharavi,40,11.3 km,7,Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir,MCLM,DHAV
Jagannath Shankar Sheth Metro,Shitala Devi Mandir,40,9.489 km,6,Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro,MCLM,SDIT
Jagannath Shankar Sheth Metro,Dadar Metro,30,8.397 km,5,Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak,MCLM,DDRM
Jagannath Shankar Sheth Metro,Siddhivinayak,30,6.404 km,4,Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli,MCLM,SIDV
Jagannath Shankar Sheth Metro,Worli,20,4.778 km,3,Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk,MCLM,WOR
Jagannath Shankar Sheth Metro,Acharya Atre Chowk,20,3.296 km,2,Mahalaxmi Metro -> Science Centre,MCLM,ACA
Jagannath Shankar Sheth Metro,Science Centre,20,2.455 km,1,Mahalaxmi Metro,MCLM,SCMU
Jagannath Shankar Sheth Metro,Mahalaxmi Metro,10,1.087 km,0,,MCLM,MLXM
Jagannath Shankar Sheth Metro,Grant Road Metro,10,1.046 km,0,,MCLM,GTRM
Jagannath Shankar Sheth Metro,Girgaon,20,2.581 km,1,Grant Road Metro,MCLM,GIRG
Jagannath Shankar Sheth Metro,Kalbadevi,20,3.3 km,2,Grant Road Metro -> Girgaon,MCLM,KLBD
Jagannath Shankar Sheth Metro,Chhatrapati Shivaji Maharaj Terminus Metro,20,4.2 km,3,Grant Road Metro -> Girgaon -> Kalbadevi,MCLM,CSTM
Jagannath Shankar Sheth Metro,Hutatma Chowk,30,5.14 km,4,Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro,MCLM,HUC
Jagannath Shankar Sheth Metro,Churchgate Metro,30,6.03 km,5,Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk,MCLM,CHGM
Jagannath Shankar Sheth Metro,Vidhan Bhavan,30,6.766 km,6,Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk -> Churchgate Metro,MCLM,VIDB
Jagannath Shankar Sheth Metro,Cuffe Parade,40,8.226 km,7,Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk -> Churchgate Metro -> Vidhan Bhavan,MCLM,CUP
Grant Road Metro,Aarey JVLR,70,26.434 km,18,Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka -> MIDC-Andheri -> SEEPZ,GTRM,ARYJ
Grant Road Metro,SEEPZ,60,24.952 km,17,Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka -> MIDC-Andheri,GTRM,SEPZ
Grant Road Metro,MIDC-Andheri,60,23.709 km,16,Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka,GTRM,MIDC
Grant Road Metro,Marol Naka,60,22.483 km,15,Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2,GTRM,MNK
Grant Road Metro,CSMI-Airport - T2,60,21.369 km,14,Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road,GTRM,CSIA
Grant Road Metro,Sahar Road,60,20.417 km,13,Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1,GTRM,SHRR
Grant Road Metro,CSMI Airport-T1,60,18.694 km,12,Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro,GTRM,CIAD
Grant Road Metro,Santacruz Metro,50,16.421 km,11,Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony,GTRM,STZM
Grant Road Metro,Bandra Colony,50,15.421 km,10,Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex,GTRM,VIDN
Grant Road Metro,Bandra-Kurla Complex,50,14.17 km,9,Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi,GTRM,BDRM
Grant Road Metro,Dharavi,50,12.346 km,8,Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir,GTRM,DHAV
Grant Road Metro,Shitala Devi Mandir,40,10.535 km,7,Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro,GTRM,SDIT
Grant Road Metro,Dadar Metro,40,9.443 km,6,Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak,GTRM,DDRM
Grant Road Metro,Siddhivinayak,30,7.45 km,5,Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli,GTRM,SIDV
Grant Road Metro,Worli,30,5.824 km,4,Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk,GTRM,WOR
Grant Road Metro,Acharya Atre Chowk,20,4.342 km,3,Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre,GTRM,ACA
Grant Road Metro,Science Centre,20,3.501 km,2,Jagannath Shankar Sheth Metro -> Mahalaxmi Metro,GTRM,SCMU
Grant Road Metro,Mahalaxmi Metro,20,2.133 km,1,Jagannath Shankar Sheth Metro,GTRM,MLXM
Grant Road Metro,Jagannath Shankar Sheth Metro,10,1.046 km,0,,GTRM,MCLM
Grant Road Metro,Girgaon,10,1.535 km,0,,GTRM,GIRG
Grant Road Metro,Kalbadevi,20,2.254 km,1,Girgaon,GTRM,KLBD
Grant Road Metro,Chhatrapati Shivaji Maharaj Terminus Metro,20,3.154 km,2,Girgaon -> Kalbadevi,GTRM,CSTM
Grant Road Metro,Hutatma Chowk,20,4.094 km,3,Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro,GTRM,HUC
Grant Road Metro,Churchgate Metro,20,4.984 km,4,Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk,GTRM,CHGM
Grant Road Metro,Vidhan Bhavan,30,5.72 km,5,Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk -> Churchgate Metro,GTRM,VIDB
Grant Road Metro,Cuffe Parade,30,7.18 km,6,Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk -> Churchgate Metro -> Vidhan Bhavan,GTRM,CUP
Girgaon,Aarey JVLR,70,27.969 km,19,Grant Road Metro -> Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka -> MIDC-Andheri -> SEEPZ,GIRG,ARYJ
Girgaon,SEEPZ,70,26.487 km,18,Grant Road Metro -> Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka -> MIDC-Andheri,GIRG,SEPZ
Girgaon,MIDC-Andheri,70,25.244 km,17,Grant Road Metro -> Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka,GIRG,MIDC
Girgaon,Marol Naka,60,24.018 km,16,Grant Road Metro -> Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2,GIRG,MNK
Girgaon,CSMI-Airport - T2,60,22.904 km,15,Grant Road Metro -> Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road,GIRG,CSIA
Girgaon,Sahar Road,60,21.952 km,14,Grant Road Metro -> Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1,GIRG,SHRR
Girgaon,CSMI Airport-T1,60,20.229 km,13,Grant Road Metro -> Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro,GIRG,CIAD
Girgaon,Santacruz Metro,50,17.956 km,12,Grant Road Metro -> Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony,GIRG,STZM
Girgaon,Bandra Colony,50,16.956 km,11,Grant Road Metro -> Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex,GIRG,VIDN
Girgaon,Bandra-Kurla Complex,50,15.705 km,10,Grant Road Metro -> Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi,GIRG,BDRM
Girgaon,Dharavi,50,13.881 km,9,Grant Road Metro -> Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir,GIRG,DHAV
Girgaon,Shitala Devi Mandir,50,12.07 km,8,Grant Road Metro -> Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro,GIRG,SDIT
Girgaon,Dadar Metro,40,10.978 km,7,Grant Road Metro -> Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak,GIRG,DDRM
Girgaon,Siddhivinayak,40,8.985 km,6,Grant Road Metro -> Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli,GIRG,SIDV
Girgaon,Worli,30,7.359 km,5,Grant Road Metro -> Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk,GIRG,WOR
Girgaon,Acharya Atre Chowk,30,5.877 km,4,Grant Road Metro -> Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre,GIRG,ACA
Girgaon,Science Centre,30,5.036 km,3,Grant Road Metro -> Jagannath Shankar Sheth Metro -> Mahalaxmi Metro,GIRG,SCMU
Girgaon,Mahalaxmi Metro,20,3.668 km,2,Grant Road Metro -> Jagannath Shankar Sheth Metro,GIRG,MLXM
Girgaon,Jagannath Shankar Sheth Metro,20,2.581 km,1,Grant Road Metro,GIRG,MCLM
Girgaon,Grant Road Metro,10,1.535 km,0,,GIRG,GTRM
Girgaon,Kalbadevi,10,0.719 km,0,,GIRG,KLBD
Girgaon,Chhatrapati Shivaji Maharaj Terminus Metro,10,1.619 km,1,Kalbadevi,GIRG,CSTM
Girgaon,Hutatma Chowk,20,2.559 km,2,Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro,GIRG,HUC
Girgaon,Churchgate Metro,20,3.449 km,3,Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk,GIRG,CHGM
Girgaon,Vidhan Bhavan,20,4.185 km,4,Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk -> Churchgate Metro,GIRG,VIDB
Girgaon,Cuffe Parade,30,5.645 km,5,Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk -> Churchgate Metro -> Vidhan Bhavan,GIRG,CUP
Kalbadevi,Aarey JVLR,70,28.688 km,20,Girgaon -> Grant Road Metro -> Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka -> MIDC-Andheri -> SEEPZ,KLBD,ARYJ
Kalbadevi,SEEPZ,70,27.206 km,19,Girgaon -> Grant Road Metro -> Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka -> MIDC-Andheri,KLBD,SEPZ
Kalbadevi,MIDC-Andheri,70,25.963 km,18,Girgaon -> Grant Road Metro -> Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka,KLBD,MIDC
Kalbadevi,Marol Naka,60,24.737 km,17,Girgaon -> Grant Road Metro -> Jagannath Shankar Sheth Metro -> Mahalaxmi Metro -> Science Centre -> Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2,KLBD,MNK
